start_interval_Timestamp,Opening,Highest,Lowest,Closing,Volume,end_interval_Timestamp
2024-03-27 01:24:00,70587.48000000,70587.48000000,70538.90000000,70538.90000000,0.29616000,2024-03-27 01:24:59.999000
2024-03-27 01:25:00,70512.71000000,70512.71000000,70512.71000000,70512.71000000,0.00002000,2024-03-27 01:25:59.999000
2024-03-27 01:26:00,70512.72000000,70512.72000000,70512.72000000,70512.72000000,0.00009000,2024-03-27 01:26:59.999000
2024-03-27 01:27:00,70512.71000000,70512.71000000,70435.75000000,70435.75000000,0.00536000,2024-03-27 01:27:59.999000
2024-03-27 01:28:00,70478.80000000,70478.80000000,70434.28000000,70478.80000000,0.01929000,2024-03-27 01:28:59.999000
2024-03-27 01:29:00,70525.92000000,70525.93000000,70442.14000000,70442.14000000,0.00442000,2024-03-27 01:29:59.999000
2024-03-27 01:30:00,70502.89000000,70502.89000000,70407.70000000,70407.70000000,0.00085000,2024-03-27 01:30:59.999000
2024-03-27 01:31:00,70525.93000000,70539.96000000,70447.53000000,70518.08000000,0.00197000,2024-03-27 01:31:59.999000
2024-03-27 01:32:00,70518.08000000,70518.08000000,70518.08000000,70518.08000000,0.00000000,2024-03-27 01:32:59.999000
2024-03-27 01:33:00,70568.67000000,70568.73000000,70568.67000000,70568.73000000,0.03034000,2024-03-27 01:33:59.999000
2024-03-27 01:34:00,70528.36000000,70528.40000000,70484.09000000,70528.32000000,0.00271000,2024-03-27 01:34:59.999000
2024-03-27 01:35:00,70564.19000000,70564.19000000,70564.19000000,70564.19000000,0.00130000,2024-03-27 01:35:59.999000
2024-03-27 01:36:00,70566.30000000,70572.56000000,70566.29000000,70572.56000000,0.00911000,2024-03-27 01:36:59.999000
2024-03-27 01:37:00,70555.68000000,70564.19000000,70555.66000000,70564.19000000,0.02595000,2024-03-27 01:37:59.999000
2024-03-27 01:38:00,70586.70000000,70586.70000000,70514.01000000,70514.01000000,0.00729000,2024-03-27 01:38:59.999000
2024-03-27 01:39:00,70550.15000000,70550.15000000,70550.15000000,70550.15000000,0.00017000,2024-03-27 01:39:59.999000
2024-03-27 01:40:00,70543.60000000,70543.60000000,70543.60000000,70543.60000000,0.00002000,2024-03-27 01:40:59.999000
2024-03-27 01:41:00,70555.00000000,70555.00000000,70478.18000000,70478.18000000,0.00010000,2024-03-27 01:41:59.999000
2024-03-27 01:42:00,70539.04000000,70539.04000000,70539.04000000,70539.04000000,0.00013000,2024-03-27 01:42:59.999000
2024-03-27 01:43:00,70457.56000000,70495.27000000,70457.56000000,70495.27000000,0.00521000,2024-03-27 01:43:59.999000
2024-03-27 01:44:00,70523.66000000,70523.66000000,70446.87000000,70446.87000000,0.00070000,2024-03-27 01:44:59.999000
2024-03-27 01:45:00,70446.87000000,70446.87000000,70446.87000000,70446.87000000,0.00000000,2024-03-27 01:45:59.999000
2024-03-27 01:46:00,70380.81000000,70380.81000000,70380.81000000,70380.81000000,0.00122000,2024-03-27 01:46:59.999000
2024-03-27 01:47:00,70387.18000000,70387.18000000,70380.90000000,70380.90000000,0.01075000,2024-03-27 01:47:59.999000
2024-03-27 01:48:00,70380.90000000,70380.90000000,70380.90000000,70380.90000000,0.00000000,2024-03-27 01:48:59.999000
2024-03-27 01:49:00,70425.18000000,70425.18000000,70370.77000000,70370.77000000,0.00336000,2024-03-27 01:49:59.999000
2024-03-27 01:50:00,70370.77000000,70370.77000000,70370.77000000,70370.77000000,0.00036000,2024-03-27 01:50:59.999000
2024-03-27 01:51:00,70397.83000000,70397.83000000,70397.77000000,70397.77000000,0.04531000,2024-03-27 01:51:59.999000
2024-03-27 01:52:00,70397.31000000,70397.31000000,70397.31000000,70397.31000000,0.00013000,2024-03-27 01:52:59.999000
2024-03-27 01:53:00,70370.77000000,70370.77000000,70295.06000000,70300.17000000,0.00182000,2024-03-27 01:53:59.999000
2024-03-27 01:54:00,70300.43000000,70300.43000000,70300.43000000,70300.43000000,0.00128000,2024-03-27 01:54:59.999000
2024-03-27 01:55:00,70301.06000000,70366.66000000,70301.06000000,70366.66000000,0.00108000,2024-03-27 01:55:59.999000
2024-03-27 01:56:00,70418.67000000,70418.67000000,70301.51000000,70406.14000000,0.00276000,2024-03-27 01:56:59.999000
